ticker,ref.date,price.open,price.close,price.adjusted,price.low,price.high,volume
^GSPC,1997-12-29,936.460022,953.349976,953.349976,936.460022,953.950012,443160000
^GSPC,1997-12-30,953.349976,970.840027,970.840027,953.349976,970.840027,499500000
^GSPC,1997-12-31,970.840027,970.429993,970.429993,967.409973,975.02002,467280000
^GSPC,1998-01-02,970.429993,975.039978,975.039978,965.72998,975.039978,366730000
^GSPC,1998-01-05,975.039978,977.070007,977.070007,969,982.630005,628070000
^GSPC,1998-01-06,977.070007,966.580017,966.580017,962.679993,977.070007,618360000
^GSPC,1998-01-07,966.580017,964,964,952.669983,966.580017,667390000
^GSPC,1998-01-08,964,956.049988,956.049988,955.039978,964,652140000
^GSPC,1998-01-09,956.049988,927.690002,927.690002,921.719971,956.049988,746420000
^GSPC,1998-01-12,927.690002,939.210022,939.210022,912.830017,939.25,705450000
^GSPC,1998-01-13,939.210022,952.119995,952.119995,939.210022,952.140015,646740000
^GSPC,1998-01-14,952.119995,957.940002,957.940002,948,958.119995,603280000
^GSPC,1998-01-15,957.940002,950.72998,950.72998,950.27002,957.940002,569050000
^GSPC,1998-01-16,950.72998,961.51001,961.51001,950.72998,965.119995,670080000
^GSPC,1998-01-20,961.51001,978.599976,978.599976,961.47998,978.599976,644790000
^GSPC,1998-01-21,978.599976,970.809998,970.809998,963.289978,978.599976,626160000
^GSPC,1998-01-22,970.809998,963.039978,963.039978,959.48999,970.809998,646570000
^GSPC,1998-01-23,963.039978,957.590027,957.590027,950.859985,966.440002,635770000
^GSPC,1998-01-26,957.590027,956.950012,956.950012,954.23999,963.039978,555080000
^GSPC,1998-01-27,956.950012,969.02002,969.02002,956.26001,973.22998,679140000
^GSPC,1998-01-28,969.02002,977.460022,977.460022,969.02002,978.630005,708470000
^GSPC,1998-01-29,977.460022,985.48999,985.48999,975.210022,992.650024,750760000
^GSPC,1998-01-30,985.48999,980.280029,980.280029,979.630005,987.409973,613380000
^GSPC,1998-02-02,980.280029,1001.27002,1001.27002,980.280029,1002.47998,724320000
^GSPC,1998-02-03,1001.27002,1006,1006,996.900024,1006.130005,692120000
^GSPC,1998-02-04,1006,1006.900024,1006.900024,999.429993,1009.52002,695420000
^GSPC,1998-02-05,1006.900024,1003.539978,1003.539978,1000.27002,1013.51001,703980000
^GSPC,1998-02-06,1003.539978,1012.460022,1012.460022,1003.359985,1013.070007,569650000
^GSPC,1998-02-09,1012.460022,1010.73999,1010.73999,1006.280029,1015.330017,524810000
^GSPC,1998-02-10,1010.73999,1019.01001,1019.01001,1010.710022,1022.150024,642800000
^GSPC,1998-02-11,1019.01001,1020.01001,1020.01001,1016.380005,1020.710022,599300000
^GSPC,1998-02-12,1020.01001,1024.140015,1024.140015,1008.549988,1026.300049,611480000
^GSPC,1998-02-13,1024.140015,1020.090027,1020.090027,1017.710022,1024.140015,531940000
^GSPC,1998-02-17,1020.090027,1022.76001,1022.76001,1020.090027,1028.02002,605890000
^GSPC,1998-02-18,1022.76001,1032.079956,1032.079956,1021.700012,1032.079956,6.06e+08
^GSPC,1998-02-19,1032.079956,1028.280029,1028.280029,1026.619995,1032.930054,581820000
^GSPC,1998-02-20,1028.280029,1034.209961,1034.209961,1022.690002,1034.209961,594300000
^GSPC,1998-02-23,1034.209961,1038.140015,1038.140015,1031.76001,1038.680054,550730000
^GSPC,1998-02-24,1038.140015,1030.560059,1030.560059,1028.890015,1038.72998,589880000
^GSPC,1998-02-25,1030.560059,1042.900024,1042.900024,1030.560059,1045.790039,611350000
^GSPC,1998-02-26,1042.900024,1048.670044,1048.670044,1039.849976,1048.680054,646280000
