car_model,car_price,date,time,total_mileage,year,gear_type,fuel_type,url,city,area
HYUNDAI HB20 1.0 MT SENSE 2020,61900.0,3 mar,13:05,51524.0,2020,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-mt-sense-2020-1148098564,Porto Alegre,São João
Hyundai HB20 CONFORT 4P,52900.0,3 mar,12:32,83105.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-confort-4p-1151665637,Novo Hamburgo,Pátria Nova
Carro impecável!,47000.0,3 mar,12:26,60000.0,2015,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/carro-impecavel-1154235942,Garibaldi,Pátria Nova
Hyundai HB20 Comfort 1.0 Flex 12V 2015 flex,47950.0,3 mar,11:42,64000.0,2015,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-comfort-1-0-flex-12v-2015-flex-1148531223,Porto Alegre,Sarandi
Hyundai/Hb20 Confort Plus1.0 3 Cilindros 2018+Única Dona+Ipva 2023 Pago+Excelente Estado,53900.0,3 mar,11:33,49000.0,2018,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-confort-plus1-0-3-cilindros-2018-unica-dona-ipva-2023-pago-excelente-estado-1154208194,Caxias do Sul,São Leopoldo
HYUNDAI HB20 HB20 UNIQUE 1.0 FLEX 12V MEC.,56900.0,3 mar,10:53,68755.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-hb20-unique-1-0-flex-12v-mec-1154186613,Novo Hamburgo,Rio Branco
hyundai hb20 1.0unique 12v,57900.0,3 mar,10:43,0.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0unique-12v-1154182772,Canoas,Nossa Senhora das Graças
HYUNDAI/HB20 2019 UNIQUE UNICA DONA ,53900.0,3 mar,10:04,74000.0,2019,Manual,Gasolina,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2019-unique-unica-dona-1147400533,Sapiranga,Sete de Setembro
HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO,69990.0,3 mar,09:45,76966.0,2019,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-6-comfort-plus-16v-flex-4p-automatico-1121125651,Novo Hamburgo,Ideal
Hyundai HB20 2015 Comfort Hatch 1.0 Flex,47900.0,3 mar,09:38,96000.0,2015,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2015-comfort-hatch-1-0-flex-1119868231,Porto Alegre,Sarandi
Hyundai HB20 Unique 1.0 Flex 12V Mec. 2019 Flex,57900.0,3 mar,09:37,42291.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-unique-1-0-flex-12v-mec-2019-flex-1104456309,Santa Maria,Camobi
Hb 20 confort 1.0,44900.0,3 mar,09:21,139000.0,2014,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb-20-confort-1-0-1154138113,Campo Bom,Camobi
Hyundai Hb20 1.0 TGDI FLEX COMFORT MANUAL,77900.0,3 mar,09:04,1250.0,2023,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-tgdi-flex-comfort-manual-1154129239,Gravataí,Vera Cruz
HYUNDAI HB20 DIAMOND 1.0 TURBO AT 2020,86900.0,3 mar,08:52,41723.0,2020,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-diamond-1-0-turbo-at-2020-1135573633,Porto Alegre,Petrópolis
HYUNDAI HB20 1.0 MT VISION 2020,65900.0,3 mar,08:51,51985.0,2020,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-mt-vision-2020-1116492207,Gravataí,Vera Cruz
Hyundai HB20 1.6 Manual | 2014,49900.0,3 mar,08:48,90000.0,2014,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-6-manual-2014-1075859051,Novo Hamburgo,Pátria Nova
Hb20 único dono ,58500.0,3 mar,08:27,50726.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hb20-unico-dono-1149839834,Tenente Portela,Pátria Nova
HYUNDAI HB20 1.0 UNIQUE 2019,57900.0,3 mar,08:17,91900.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-unique-2019-1122582903,Alvorada,Bela Vista
HB20 PREMIUM 1.6 ,66000.0,3 mar,06:31,45000.0,2019,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-premium-1-6-1154088798,São Leopoldo,Centro
HB20 Unique 1.0,58500.0,2 mar,23:18,44843.0,2019,Manual,Gasolina,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-unique-1-0-1148519003,Porto Alegre,Rio Branco
Hyundai Hb20 1.0 Tgdi Comfort,109790.0,2 mar,22:34,0.0,2023,Automático,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-tgdi-comfort-1066890986,Caxias do Sul,Nossa Senhora de Fátima
HB20 C.Style/C.Plus 1.6 Flex 16V Aut. ,62900.0,2 mar,21:42,93000.0,2016,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-c-style-c-plus-1-6-flex-16v-aut-1145500327,Porto Alegre,Navegantes
HYUNDAI HB20 EVOLUTION 1.0 FLEX 12V MEC 2021,74900.0,2 mar,21:26,42020.0,2021,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-evolution-1-0-flex-12v-mec-2021-1145557316,Gravataí,Vera Cruz
Hyundai Hb20 1.0 12v Sense,87390.0,2 mar,21:05,0.0,2023,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-12v-sense-1087578223,Caxias do Sul,Nossa Senhora de Fátima
