Country_ISO,Country,Year,CO2_Capita,GDP_PPP,Income_Group
AFG,Afghanistan,2023,0.280995468771367,2201.72290691677,Lower Income
ALB,Albania,2024,1.7852214941728,26693.1934374653,Higher Income
DZA,Algeria,2024,3.98080005796518,17620.7423956126,Lower Income
AGO,Angola,2024,0.741712294740973,10118.6089945408,Lower Income
ATG,Antigua and Barbuda,2024,3.79857526767052,33386.1917127894,Higher Income
ARG,Argentina,2024,4.01066531653131,30431.1931223693,Higher Income
ARM,Armenia,2024,2.47028185264546,22823.1795255693,Higher Income
ABW,Aruba,2024,5.14838649937497,50649.3015232212,Higher Income
AUS,Australia,2024,14.0973544987552,71410.4198745406,Higher Income
AUT,Austria,2024,6.32278424603578,71621.8033644832,Higher Income
AZE,Azerbaijan,2024,3.81144251153847,25088.9993757134,Higher Income
BHS,"Bahamas, The",2024,3.63633645083395,41197.9342548477,Higher Income
BHR,Bahrain,2024,23.8999918170545,66941.2430367989,Higher Income
BGD,Bangladesh,2024,0.715539343541092,9646.76984383255,Lower Income
BRB,Barbados,2024,2.52348061897496,24822.5343309908,Higher Income
BLR,Belarus,2024,5.93649429972465,33010.3307605357,Higher Income
BEL,Belgium,2024,7.30661519351762,72236.9050549712,Higher Income
BLZ,Belize,2024,0.932452909809338,14346.5188049737,Lower Income
BEN,Benin,2024,0.487328666439324,4434.5642184028,Lower Income
BMU,Bermuda,2024,4.1354663036079,124252.835702586,Higher Income
BTN,Bhutan,2023,1.98465128404026,16215.1520073153,Lower Income
BOL,Bolivia,2024,2.29073378062186,12877.6351184372,Lower Income
BIH,Bosnia and Herzegovina,2024,6.44935787372249,22955.7616198884,Higher Income
BWA,Botswana,2024,2.73749285541178,20538.1320178889,Higher Income
BRA,Brazil,2024,2.31826466114939,22338.4765640635,Higher Income
BRN,Brunei Darussalam,2024,20.2426516194424,89879.3614980758,Higher Income
BGR,Bulgaria,2024,5.30760215797104,41519.5397897491,Higher Income
BFA,Burkina Faso,2024,0.274990879570369,2895.89152033665,Lower Income
BDI,Burundi,2024,0.0689574855425617,1194.94681370387,Lower Income
CPV,Cabo Verde,2024,1.28830183071462,11195.1205312923,Lower Income
KHM,Cambodia,2024,1.10207037315065,7966.87352428705,Lower Income
CMR,Cameroon,2024,0.353419532873246,5588.98645861945,Lower Income
CAN,Canada,2024,13.9983582392805,65463.0990993361,Higher Income
CYM,Cayman Islands,2023,4.92072619732194,88427.7866712691,Higher Income
CAF,Central African Republic,2024,0.0632938700243308,1263.10234213699,Lower Income
TCD,Chad,2024,0.142508619707364,2742.65952183613,Lower Income
