Iteration ID,CO2_Gap_Difference
1,2.4372006232986867
2,4.407307210505169
3,6.023705901154617
4,2.9341792594890457
5,5.674502090808804
6,4.900107278853157
7,5.995299484044683
8,4.7272930114313505
9,4.365009920847668
10,3.3430254097282823
11,3.961696260545568
12,4.24163787458121
13,3.0728129429590276
14,5.435830454696504
15,5.041700577635207
16,7.777201296266043
17,2.6865854519934045
18,4.3419416027330495
19,6.016195142481967
20,4.535839889698289
21,4.187533764772839
22,5.969699352388863
23,5.030495177167257
24,6.718210864759026
25,5.137605427304512
26,6.871954610178736
27,2.982488967632986
28,3.6463283276509184
29,4.102909021124641
30,5.785383242927961
31,2.9911964402069904
32,5.3234426796220475
33,4.623243134482397
34,3.3016144610603986
35,4.463186347806163
36,4.6606955010788615
37,5.851038563523539
38,4.196587065109048
39,6.636987413218351
40,5.442115108830969
41,4.2225701523281725
42,6.947738470484073
43,4.482366129147121
44,3.086384259304939
45,2.716127484559437
46,4.706691471362527
47,5.153193512556791
48,2.4459943473388175
49,5.696878257276709
50,2.8932209857426914
51,6.2776159703475
52,2.745606671916274
53,5.805788722227533
54,4.994945369496186
55,4.392952323528217
56,4.684492326408407
57,6.668141258028748
58,5.585037070577092
59,4.425544050512942
60,4.510970342429761
61,7.407754032191244
62,4.030606712794189
63,5.599498232352387
64,2.9875579887918993
65,4.315663627332814
66,5.1554262028797915
67,5.327910347518248
68,5.110810990135768
69,5.092618207999143
70,5.490094147397515
71,3.065929842745307
72,7.044706536974016
73,6.13145363069492
74,5.308936478267283
75,4.274853847140913
76,3.5482932401154574
77,4.090667303747399
78,5.196028225331167
79,3.993781556609714
80,3.1192425550484195
81,6.08304537622557
82,5.650942054150941
83,7.064197515693589
84,4.833974684792688
85,3.6506764975635626
86,4.401708584812859
87,4.1733395330696
88,5.091313451953136
89,3.7955572337436343
90,3.4922837376395752
91,4.6635012702006655
92,7.624121077663483
93,6.306784458106494
94,4.641879189009158
95,4.194973490631915
96,3.066790975284266
97,4.7608381289456645
98,4.524046903355829
99,5.963268825942573
100,3.5484705405693067
101,4.909029907580797
102,4.404529923011044
103,5.0627096646204315
104,6.906574333491423
105,3.729591619505393
106,5.197281395041311
107,5.168097125010619
108,5.749199226201043
109,5.332219112461073
110,6.534990523244743
111,5.907462316237153
112,5.329308238222797
113,2.1250976902812777
114,6.205285470113885
115,4.428389098230037
116,2.415831816500955
117,2.608271152487263
118,6.700701718948644
119,2.678153288877238
120,5.400813228145413
121,5.636626526473981
122,4.300076732716166
123,6.76934852243227
124,3.531777446563207
125,5.072311533055426
