Date,Close,pct_return,year,month,year_month
2014-07-07 00:00:00-03:00,5.717695236206055,,2014,7,2014-07
2014-07-08 00:00:00-03:00,5.720997333526611,0.0005775224428974164,2014,7,2014-07
2014-07-10 00:00:00-03:00,5.978492259979248,0.04500874785304407,2014,7,2014-07
2014-07-11 00:00:00-03:00,6.021407127380371,0.007178209075957223,2014,7,2014-07
2014-07-14 00:00:00-03:00,6.305311679840088,0.04714920390763051,2014,7,2014-07
2014-07-15 00:00:00-03:00,6.358131408691406,0.008377021078941803,2014,7,2014-07
2014-07-16 00:00:00-03:00,6.374636650085449,0.0025959264339017463,2014,7,2014-07
2014-07-17 00:00:00-03:00,6.45716667175293,0.012946623658365564,2014,7,2014-07
2014-07-18 00:00:00-03:00,6.774083137512207,0.04907980262390283,2014,7,2014-07
2014-07-21 00:00:00-03:00,6.912734031677246,0.02046784654844948,2014,7,2014-07
2014-07-22 00:00:00-03:00,6.9490461349487305,0.005252929319294803,2014,7,2014-07
2014-07-23 00:00:00-03:00,6.684950351715088,-0.038004609280895364,2014,7,2014-07
2014-07-24 00:00:00-03:00,6.704756259918213,0.0029627607029338084,2014,7,2014-07
2014-07-25 00:00:00-03:00,6.76417875289917,0.008862737238666136,2014,7,2014-07
2014-07-28 00:00:00-03:00,6.651937484741211,-0.01659348048864789,2014,7,2014-07
2014-07-29 00:00:00-03:00,6.476973533630371,-0.02630270526627577,2014,7,2014-07
2014-07-30 00:00:00-03:00,6.5528998374938965,0.011722497161566812,2014,7,2014-07
2014-07-31 00:00:00-03:00,6.305311679840088,-0.03778299131587164,2014,7,2014-07
2014-08-01 00:00:00-03:00,6.272298336029053,-0.005235798876776925,2014,8,2014-08
2014-08-04 00:00:00-03:00,6.453865051269531,0.02894739782984033,2014,8,2014-08
2014-08-05 00:00:00-03:00,6.503384113311768,0.007672776181227326,2014,8,2014-08
2014-08-06 00:00:00-03:00,6.704756259918213,0.030964209263644283,2014,8,2014-08
2014-08-07 00:00:00-03:00,6.651937484741211,-0.007877806907427572,2014,8,2014-08
2014-08-08 00:00:00-03:00,6.374636650085449,-0.04168722801317035,2014,8,2014-08
2014-08-11 00:00:00-03:00,6.648636341094971,0.04298279353786363,2014,8,2014-08
2014-08-12 00:00:00-03:00,6.493480682373047,-0.023336463413243486,2014,8,2014-08
2014-08-13 00:00:00-03:00,6.169960975646973,-0.049822232874933835,2014,8,2014-08
2014-08-14 00:00:00-03:00,6.140251636505127,-0.004815158354989502,2014,8,2014-08
2014-08-15 00:00:00-03:00,6.622228145599365,0.07849458582915128,2014,8,2014-08
2014-08-18 00:00:00-03:00,6.734468460083008,0.016949025617341355,2014,8,2014-08
2014-08-19 00:00:00-03:00,6.902829647064209,0.02499992211399056,2014,8,2014-08
2014-08-20 00:00:00-03:00,7.051384449005127,0.021520855871635006,2014,8,2014-08
2014-08-21 00:00:00-03:00,7.031576633453369,-0.0028090675944569266,2014,8,2014-08
2014-08-22 00:00:00-03:00,6.906129837036133,-0.01784049338528314,2014,8,2014-08
2014-08-25 00:00:00-03:00,7.275866985321045,0.05353753216484418,2014,8,2014-08
2014-08-26 00:00:00-03:00,7.209843158721924,-0.00907435866163073,2014,8,2014-08
2014-08-27 00:00:00-03:00,7.539964199066162,0.045787548089015334,2014,8,2014-08
