hhidpn,age,height,hhincome,female
12235010,76,1.6637,26.358,0
12235040,71,1.6129,26.358,1
12242010,81,1.7272,40.12,0
12242020,81,1.5748,40.12,1
12243020,75,1.7018,59.208,0
12243030,70,1.651,59.208,1
12257040,72,1.6764,22.88454664,1
12273010,81,1.6002,152.336,1
12273040,85,1.6256,152.336,0
12274010,79,1.91135,66.47110932,0
12274020,79,1.6637,66.47110932,1
12276020,82,1.6002,38.412,1
12276030,84,1.8034,38.412,0
12280020,72,1.6891,51.836,1
12280030,84,1.8288,51.836,0
12285010,74,1.6764,51.06,1
12292010,75,1.6002,41.024,1
12292020,74,1.778,41.024,0
12310010,76,1.778,17.57153776,0
12318010,81,1.5494,19.061,1
12319010,73,1.6256,90.30671185,1
12344010,76,1.778,128.6,0
12344020,74,1.6764,128.6,1
12345020,73,1.6764,21.47175532,1
12393020,82,1.6256,32.292,1
12394010,81,1.5748,9.87,1
12401040,89,1.524,19,1
12418020,78,1.6256,30.048,1
12418030,88,1.651,30.048,0
12443040,68,1.6256,41.424,1
12445010,77,1.5494,96.8005695,1
12455010,79,1.5621,14.46892668,1
12458020,75,1.5494,39.536,1
12474040,67,1.54305,55.798,1
12479010,78,1.6256,49.58,0
12481010,75,1.5748,100.9,1
12481011,68,1.6002,100.9,1
12484010,79,1.7018,30.025,1
12484020,78,1.8288,30.025,0
12494040,60,1.7018,2,1
12507010,72,1.7526,75.8,1
12510010,79,1.778,216.7337442,0
12510020,79,1.7272,216.7337442,1
12512010,75,1.7526,129.8,0
12512020,75,1.7272,129.8,1
12516010,77,1.7018,36.977,0
12516040,70,1.6764,36.977,1
12529020,81,1.524,6.002,1
12543010,74,1.8034,71.91,1
12549010,72,1.7018,27.6,0
12549011,55,1.6002,47.4,1
12549040,61,1.6256,602.6853632,1
12562010,74,1.5494,266.5,1
12571020,78,1.5748,34.36337786,1
12573010,77,1.5875,81.804,1
12573011,75,1.7399,81.804,0
12586010,74,1.8542,32.4,0
12586020,74,1.6764,32.4,1
12588010,82,1.651,76.44,1
12588020,82,1.8034,76.44,0
12596010,78,1.7018,104.88,0
12596040,69,1.6256,104.88,1
12605040,58,1.6764,10.044,1
12611010,80,1.8034,52.136,0
12648040,65,1.651,64.00036,0
12666010,77,1.5748,18.23507327,1
12671010,72,1.524,28.164,1
12682010,74,1.5748,20.028,1
12682011,67,1.7272,20.028,0
12695020,73,1.778,21.5,0
12695030,63,1.7526,21.5,1
12715030,69,1.7018,158.536503,1
12738010,76,1.6764,0,0
12738020,66,1.5494,0,1
12744010,80,1.6256,85.97883835,0
12744011,81,1.4732,26.4,1
12745010,73,1.8034,50.412,0
12745020,72,1.651,50.412,1
12756010,74,1.6256,256.796,1
12756011,74,1.7526,256.796,0
12786010,73,1.8161,194.5463579,0
12792010,79,1.6764,79.404,1
12821010,74,1.524,51.6,1
12852020,78,1.8288,34.368,0
12852030,57,1.778,94.12,1
12854010,79,1.6002,14.076,1
12864020,79,1.6002,27.012,1
12887010,81,1.524,16.8,1
12909020,75,1.524,24.8,1
12964040,85,1.7272,40.6,1
12967010,72,1.651,46.416,1
12974010,76,1.6129,14.516,1
12979010,77,1.7399,107.8892115,0
12979020,78,1.6256,107.8892115,1
12981030,84,1.6256,162.84,0
12981031,71,1.524,162.84,1
12987020,81,1.6764,10.116,0
13062010,78,1.6637,13.5,1
13063010,73,1.5748,25.432,1
13137021,50,1.5494,15.776,1
13140010,82,1.6764,19.512,1
13140040,87,1.6002,19.512,0
13158010,74,1.9558,45.72,0
13176020,76,1.651,37.148,1
13189030,67,1.6129,209.2674474,1
13194010,76,1.4986,133.4782477,1
13194011,69,1.778,13.212,0
13208010,83,1.5494,13.2,1
13211010,78,1.9558,34.12574153,0
13211020,79,1.778,34.12574153,1
13216010,79,1.6002,4.792,1
13231010,73,1.7018,20.832,0
13231020,76,1.6002,20.832,1
13296010,79,1.6256,81,1
13305030,68,1.5494,34.63795639,1
13317010,77,1.8034,9.492,1
13318020,80,1.7272,32.412,0
13344010,72,1.7272,270.16,0
13344040,64,1.524,270.16,1
13371010,80,1.778,95.47814328,0
13371012,67,1.524,95.47814328,1
13390020,77,1.8034,17.124,0
13392020,72,1.6764,12.24,0
13399010,75,1.651,46.6,1
13418010,76,1.8034,21.6,0
13433030,64,1.6256,4.872,1
13465010,75,1.7018,31.8,0
13465040,64,1.524,31.8,1
13527020,76,1.651,18.64901357,1
13535020,81,1.524,27.04346326,1
13547020,79,1.6002,17.33001455,1
13552020,79,1.4732,38.604,1
13552030,84,1.6764,38.604,0
13561020,73,1.8288,29.948,0
13573010,76,1.5494,21.6,1
13583030,71,1.7526,51.71698327,1
13590030,69,1.5748,81.4,1
13590040,72,1.79705,81.4,0
13595011,72,1.6256,63.892,1
13598020,74,1.7907,28.8,0
13600010,80,1.8288,94.96,0
13600020,79,1.651,94.96,1
13612010,73,1.7018,20.084,1
13635010,75,1.778,23.47,0
13635020,75,1.7018,23.47,1
13637040,88,1.6764,37.61030674,1
13656040,68,1.6002,10.02,1
13671010,76,1.7272,44.65632384,0
13671020,77,1.6002,44.65632384,1
13678010,74,1.6383,87.768,0
13678040,68,1.6637,87.768,1
13734010,75,1.7018,20.76,0
13734020,77,1.6002,20.76,1
13738010,81,1.6637,35.00018336,1
13738020,82,1.778,35.00018336,0
13753010,79,1.5748,27.432,1
13753020,83,1.778,27.432,0
13757030,89,1.6764,31.863,0
13784010,73,1.7272,113.6352,1
13784040,72,1.8288,113.6352,0
13802020,75,1.6256,27.4981785,1
13808010,75,1.6764,50.544,0
13808011,75,1.5621,50.544,1
13813010,75,1.651,19.13582379,1
13814010,75,1.651,78.84,0
13814040,69,1.6256,78.84,1
13815010,75,1.7018,18.9678,1
13816010,73,1.778,175.5142701,0
13816040,72,1.6002,175.5142701,1
13817010,74,1.6256,72.564,1
13817011,68,1.5748,72.564,1
13817040,65,1.6002,137.07116,1
13817041,69,1.524,137.07116,1
13820010,73,1.651,244.42916,1
13820020,75,1.778,244.42916,0
13857010,83,1.8288,43.6,0
13857020,79,1.5748,43.6,1
13858020,73,1.8288,64.56,0
13858030,71,1.5875,64.56,1
13894010,73,1.8034,32,0
13894011,71,1.651,32,1
13899040,69,1.651,81.54179262,1
13899041,74,1.6764,81.54179262,0
13902010,79,1.7018,257.976,0
13902020,79,1.5748,257.976,1
13912010,76,1.7018,236.4630787,0
13912020,77,1.5494,236.4630787,1
13915011,83,1.778,21.644,0
13916010,72,1.7526,250.6,0
13916040,68,1.651,250.6,1
13974010,76,1.8034,20,0
14024030,84,1.7145,8.4,0
14028010,74,1.778,45.52,0
14028020,73,1.6129,45.52,1
14033010,75,1.8288,49,0
14043010,78,1.6256,123.332,1
14043020,83,1.7272,123.332,0
14069010,79,1.8669,32.597,0
14069020,78,1.524,32.597,1
14072010,72,1.8288,47.932,0
14072040,69,1.7018,47.932,1
14080030,84,1.651,15.2672,0
14081010,73,1.7399,127.8,0
14085010,72,1.7145,46.36305684,0
14092010,79,1.5621,44.32,1
14098010,74,1.5494,20.09243974,1
14104020,75,1.8288,104.6541552,0
14115020,73,1.8542,34.812,0
14115021,72,1.651,34.812,1
14129020,78,1.6256,12,1
14136040,64,1.6891,13.392,1
14149020,74,1.6764,179.12,0
14149030,70,1.6256,179.12,1
14157010,73,1.7018,1.572,0
14159030,72,1.6002,11.18424,1
14167010,75,1.8542,57.552,0
14167040,62,1.7145,57.552,1
14188020,80,1.651,20.4,1
14193040,72,1.5494,53.35547131,1
14214010,73,1.6002,19.78590603,1
14215030,85,1.5748,18,1
14223010,82,1.6764,15.99179242,1
14224010,74,1.5494,19.442,1
14234010,76,1.7272,27.084,0
14234011,69,1.6764,143.62,1
14234041,72,1.7272,75.26,0
14247010,75,1.651,75.84,0
14247040,66,1.5494,75.84,1
14251010,81,1.6764,21.476,1
14252010,72,1.7018,89.472,1
14253010,76,1.6002,20.4,1
14259020,83,1.6256,41.468,1
14259030,87,1.8288,41.468,0
14270040,65,1.5494,11.4,1
14272011,77,1.778,19.2,0
14275010,77,1.8542,14.352,0
14307010,80,1.7526,61,0
14332010,73,1.6256,54.168,1
14332011,77,1.8796,26.508,0
14341010,82,1.8034,29.82,0
14349010,74,1.6764,15.67408779,0
14349040,54,1.6256,.818,1
14359010,76,1.7272,22.64521733,0
14359020,74,1.5494,22.64521733,1
14397010,76,1.8796,83.6,0
14397020,74,1.4986,83.6,1
14411010,76,1.778,20.116,0
14420010,75,1.5621,11.28,1
14420020,75,1.8288,11.28,0
14427010,73,1.7526,118.336,0
14427040,62,1.524,41.436,1
14427041,39,1.8034,41.436,0
14430010,74,1.5494,32.41,1
14430020,77,1.7272,32.41,0
14433020,83,1.8034,5.852,0
14434020,82,1.4986,25.896,1
14434030,83,1.651,25.896,0
14436020,73,1.7018,24.204,0
14436021,74,1.6002,24.204,1
14449010,73,1.7526,63.428,0
14449040,71,1.7272,63.428,1
14455011,81,1.5748,23.4,1
14456010,82,1.5748,204.705036,1
14456020,81,1.7526,204.705036,0
14458030,67,1.4732,101.112,1
14458031,70,1.7018,101.112,0
14568020,76,1.6764,144.3669056,1
14578040,64,1.524,56,1
14587010,73,1.6256,48.012,1
14605010,73,1.8288,83.98,0
14605040,56,1.5494,83.98,1
14617020,73,1.6764,16.8,1
14619020,79,1.6002,47.928,1
14619021,82,1.7272,47.928,0
14624010,72,1.7526,37.152,0
14624040,61,1.5748,37.152,1
14655030,84,1.8542,27.65084403,0
14672040,63,1.6256,1.617,1
14674010,80,1.5748,10.8,1
14726010,72,1.7526,78.624,0
14726040,72,1.651,78.624,1
14736020,74,1.6256,16.801,1
14746010,78,1.8288,24.483,0
14754010,76,1.778,18.228,0
14754040,64,1.5875,43.132,1
14756010,75,1.8034,97.5,0
14756040,69,1.6256,97.5,1
14758020,74,1.5494,340.4,1
14758030,71,1.7018,340.4,0
14787010,78,1.524,26.688,1
14802010,79,1.524,15,1
14830010,73,1.6002,33.9,1
14830020,80,1.6764,33.9,0
14844010,74,1.7018,55.207,1
14852020,75,1.7018,49,1
14872010,83,1.8288,55.092,0
14872020,79,1.651,55.092,1
14955010,77,1.8288,28.776,0
14955040,65,1.5748,28.776,1
14959010,81,1.8161,65.096,0
14959020,81,1.7145,65.096,1
14981010,73,1.6256,22.575,1
14992010,73,1.8034,18,0
15000010,73,1.8288,473.02812,0
15000011,60,1.6002,473.02812,1
15015020,78,1.8288,48.896,0
15023010,81,1.6764,34.944,1
15048010,78,1.5748,26.263,1
15056020,81,1.7272,45.492,1
15080040,65,1.5875,19.44,1
15148010,75,1.651,11.748,1
15159010,76,1.4732,15.61211415,1
15172010,78,1.7272,21.6,0
15189010,81,1.5748,18.864,1
15204010,77,1.651,156.2,0
15204020,73,1.4986,156.2,1
15225010,81,1.7272,286.796,0
15225020,77,1.6256,286.796,1
15230010,81,1.6764,57.362,0
15230020,79,1.6002,57.362,1
15236010,78,1.778,137.1,0
15236040,60,1.5748,137.1,1
15239010,80,1.8542,131.76,0
15294010,75,1.6256,68.7086,1
15304020,77,1.6764,8.74,1
15332040,86,1.651,14.424,0
15339010,76,1.5494,48.251,1
15344010,74,1.6002,38.4,1
15344020,77,1.7018,38.4,0
15372010,74,1.8034,57.294,0
15429010,82,1.6764,20.124,1
15436010,79,1.6764,78.06,0
15436020,78,1.6002,78.06,1
15440010,82,1.778,54.16534845,0
15440040,66,1.6256,54.16534845,1
15445010,73,1.778,72.892,0
15445040,68,1.5748,72.892,1
15447010,80,1.6002,24.455,1
15447020,80,1.778,24.455,0
15497010,74,1.6764,7.2,0
15497040,70,1.5748,7.2,1
15511040,65,1.5748,72,1
15514020,79,1.5748,70.34868839,1
15514030,83,1.7272,70.34868839,0
15516010,73,1.778,.57,0
15516020,73,1.524,.57,1
15536010,75,1.5494,20.4,1
15536011,67,1.8288,15.6,0
15537010,76,1.8542,105.15,0
15543010,81,1.6002,78.66,1
15543020,81,1.7272,78.66,0
15560040,61,1.6764,39.004,1
15570040,86,1.6002,25.5,1
15581010,74,1.524,20.4,1
15581011,77,1.7018,20.4,0
15588040,87,1.7272,15.12,0
15591010,76,1.6256,17.17212,1
15593020,81,1.6256,19.69284,1
15618010,76,1.651,16.8,1
15625010,76,1.7653,32.55233896,0
15648020,74,1.5748,277.7,1
15657010,82,1.6002,31.2,1
15658010,81,1.651,16.39053301,1
15698010,74,1.778,97.368,0
15698040,67,1.6002,97.368,1
15709020,81,1.5748,34.584,1
15726040,71,1.4732,16.08,1
15730030,71,1.5748,23.13907628,1
15752020,72,1.7018,70.188,1
15776010,82,1.6256,20.36376873,0
15776020,75,1.6764,20.36376873,1
15779010,74,1.651,97.008,0
15779040,70,1.5748,97.008,1
15781010,74,1.5367,9.072,1
15784020,82,1.7907,12,0
15793010,72,1.6002,98.6712,1
15793011,81,1.7018,98.6712,0
15801040,72,1.5875,23.872,1
15833010,75,1.778,65.1,0
15833020,74,1.5748,65.1,1
15834010,76,1.7272,42.1212,0
15836010,74,1.7526,38.39448508,0
15836020,73,1.6002,38.39448508,1
15840020,82,1.5621,111.72,1
15883010,83,1.778,47.304,0
15883011,69,1.7018,47.304,1
15889020,73,1.7526,15.6,1
15893010,75,1.7272,43.692,0
15893020,75,1.5621,43.692,1
15897020,83,1.651,16.92,1
15911010,73,1.5494,9.456,1
15911022,72,1.6256,12.312,1
15932010,79,1.7526,63.48264753,0
15935011,87,1.7526,36.01541688,0
15972010,74,1.6764,36.28,1
15981010,77,1.6256,89.86317549,1
15981040,85,1.8034,89.86317549,0
15982010,75,1.778,37.2,0
15983010,76,1.7272,50.8,0
15986010,74,1.7272,84.85639076,0
15992020,75,1.7907,128.508,0
15992030,66,1.7272,128.508,1
15995010,76,1.8796,89.14,0
15995020,78,1.6764,89.14,1
16022010,73,1.7272,85.292,0
16022040,71,1.6256,85.292,1
16024010,75,1.8669,398.9434577,0
16024020,75,1.6637,398.9434577,1
16035010,80,1.524,64.28992,1
16035040,83,1.778,64.28992,0
16036010,80,1.6764,12.036,1
16036040,83,1.8034,12.036,0
16042010,80,1.524,40.608,1
16042011,94,1.7526,40.608,0
16043020,75,1.778,332.4133142,0
16048010,73,1.5748,46.86,1
16048020,76,1.8288,46.86,0
16054020,80,1.6256,42,1
16062010,75,1.6256,82.972,0
16062040,68,1.524,82.972,1
16064010,73,1.8288,81.354,0
16086010,80,1.8796,32.592,0
16086020,77,1.6256,32.592,1
16107010,79,1.8034,22.05,0
16116010,77,1.8034,40.536,0
16116020,75,1.6256,40.536,1
16119020,83,1.6383,28.83,1
16161020,83,1.6256,72.13506963,1
16162010,74,1.8034,36.192,0
16162040,71,1.6764,36.192,1
16174010,77,1.8034,36.59,0
16174040,71,1.778,36.59,1
16197020,72,1.6256,36.658,1
16211010,78,1.7526,28.3288994,0
16220010,82,1.524,15.54,1
16221010,73,1.7018,110.8751259,1
16233010,81,1.7018,61.008,1
16233020,79,1.7907,61.008,0
16237030,84,1.8034,86.29126284,0
16245010,72,1.6764,4.152,0
16245040,69,1.6256,4.152,1
16247030,72,1.6002,16.788,1
16250010,81,1.778,108,0
16306010,82,1.6764,15.03405134,1
16331011,74,1.6002,6.468,1
16376020,82,1.651,46.395,1
16381010,81,1.7018,44.408,1
16381040,87,1.7526,44.408,0
16400010,78,1.7018,13.536,1
16404010,75,1.778,309.4734531,0
16404020,75,1.6256,309.4734531,1
16407010,80,1.6764,43.92,0
16407011,69,1.651,43.92,1
16412010,79,1.6764,206.1425766,0
16412020,73,1.6764,206.1425766,1
16415010,76,1.6256,12.924,1
16415040,89,1.8288,12.924,0
16420010,72,1.7272,28.494,0
16420020,72,1.651,28.494,1
16433010,78,1.7907,31.032,0
16433020,81,1.524,31.032,1
16437020,78,1.7018,16.92,1
16439020,76,1.524,0,1
16444010,80,1.6002,26.272,1
16449020,75,1.8034,19.836,0
16454020,80,1.6764,18.844,1
16460010,72,1.5748,9.564,1
16468010,72,1.8034,44.016,0
16468040,67,1.651,44.016,1
16471010,77,1.6764,24.808,1
16475010,76,1.8034,37.4,0
16478010,78,1.6002,52.59412,1
16484020,77,1.778,89.073,1
16484030,87,1.8796,89.073,0
16491010,74,1.6002,21.00256,1
16528030,71,1.7018,43.39513829,0
16528040,70,1.5875,43.39513829,1
16541010,77,1.8288,11.4,0
16541011,54,1.6002,11.4,1
16566010,76,1.8288,25.272,0
16566020,72,1.7526,25.272,0
16599010,73,1.4478,9.6,1
16602020,73,1.5748,12.948,1
16606010,77,1.524,9.48,1
16612010,81,1.524,18.504,0
16619020,75,1.7272,6.372,0
16631010,74,1.8034,23.230369,0
16631020,72,1.5494,23.230369,1
16648010,73,1.8288,115.0766955,0
16648020,72,1.6764,115.0766955,1
16650020,76,1.6002,73.548,1
16650030,84,1.7272,73.548,0
16659010,79,1.8288,72.48,0
16659040,63,1.7526,72.48,1
16660010,77,1.8034,599.327563,0
16663010,81,1.4732,50.051,1
16672020,79,1.6256,17.55211828,1
16698010,81,1.6383,13.2,1
16700020,80,1.7018,23.088,0
16705010,74,1.651,36.6,1
16705020,75,1.7526,36.6,0
16706010,81,1.651,39.06,1
16706020,80,1.7272,39.06,0
16710010,77,1.5494,14.4,1
16711010,83,1.4732,62.957,1
16715030,64,1.6383,26.4,1
16715040,72,1.8288,26.4,0
16736010,74,1.6637,92.74637882,0
16736020,74,1.5748,92.74637882,1
16747010,81,1.778,44.88,0
16747020,76,1.6764,44.88,1
16761010,75,1.6764,20.412,1
16770010,81,1.5494,12.252,1
16789010,73,1.8796,39.2,0
16799010,81,1.8034,60.6,0
