firmid,wave,cty,country,sic,management,operations,monitor,target,people,lean1,lean2,perf1,perf2,perf3,perf4,perf5,perf6,perf7,perf8,perf9,perf10,talent1,talent2,talent3,talent4,talent5,talent6,emp_firm,firmage,ownership,mne_yn
9150,2012,sg,Singapore,37.0,4.44444465637207,4.5,4.59999990463257,4.80000019073486,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,350.0,17.0,Dispersed Shareholders,1.0
9154,2012,sg,Singapore,35.0,3.44444441795349,4.0,3.79999995231628,3.20000004768372,3.16666674613953,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,400.0,17.0,Dispersed Shareholders,1.0
9156,2012,sg,Singapore,28.0,3.94444441795349,4.0,4.59999990463257,3.79999995231628,3.5,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,900.0,17.0,Dispersed Shareholders,1.0
9157,2012,sg,Singapore,30.0,3.27777767181396,3.5,3.59999990463257,3.40000009536743,2.83333325386047,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2000.0,,Private Individuals,1.0
9158,2012,sg,Singapore,37.0,2.66666674613953,3.0,2.40000009536743,2.59999990463257,2.83333325386047,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,100.0,,Private Individuals,0.0
9160,2012,sg,Singapore,20.0,3.61111116409302,4.0,3.79999995231628,3.59999990463257,3.33333325386047,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,2.0,700.0,16.0,Private Individuals,0.0
9161,2012,sg,Singapore,34.0,2.72222232818604,1.0,3.0,2.40000009536743,3.33333325386047,1.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,120.0,16.0,"Founder owned, founder CEO",0.0
9164,2012,sg,Singapore,35.0,3.44444441795349,3.5,3.59999990463257,3.59999990463257,3.16666674613953,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,150.0,16.0,Private Individuals,0.0
9165,2012,sg,Singapore,35.0,3.94444441795349,4.0,4.40000009536743,4.0,3.5,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1700.0,16.0,Dispersed Shareholders,1.0
9166,2012,sg,Singapore,38.0,4.38888883590698,4.5,5.0,4.19999980926514,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,300.0,16.0,Dispersed Shareholders,1.0
9167,2012,sg,Singapore,38.0,3.88888883590698,4.0,4.40000009536743,3.40000009536743,3.83333325386047,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,800.0,,Dispersed Shareholders,0.0
9170,2012,sg,Singapore,35.0,4.0,4.0,4.19999980926514,4.19999980926514,3.66666674613953,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3500.0,,Dispersed Shareholders,1.0
9174,2012,sg,Singapore,37.0,3.5,3.0,3.79999995231628,3.59999990463257,3.33333325386047,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,200.0,,"Founder owned, founder CEO",0.0
9175,2012,sg,Singapore,36.0,2.77777767181396,3.5,2.79999995231628,2.20000004768372,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,2000.0,15.0,Dispersed Shareholders,1.0
9176,2012,sg,Singapore,39.0,2.88888883590698,3.5,2.59999990463257,3.0,2.83333325386047,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,150.0,,Other,1.0
9180,2012,sg,Singapore,38.0,4.0,4.0,4.0,4.19999980926514,3.83333325386047,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,800.0,,Dispersed Shareholders,1.0
9181,2012,sg,Singapore,34.0,3.33333325386047,4.0,3.40000009536743,3.79999995231628,2.66666674613953,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,200.0,,Dispersed Shareholders,0.0
9183,2012,sg,Singapore,38.0,2.77777767181396,1.0,3.20000004768372,3.0,2.83333325386047,1.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,250.0,14.0,Dispersed Shareholders,0.0
