time,year,month,country,countrycode,cpi_sa,cpi_yoy_nsa,exchange_rate_neer,exchange_rate_reer,exchnage_rate_vs_usd,ind_prod_const,ind_prod_const_sa
1991-04,1991,4,China,CHN,41.63401634191,1.19627798782,133.56444261475,84.28799727367,5.278,311444824897.744,333434381588.086
1991-04,1991,4,Thailand,THA,52.63584112021,5.82937482089,,,25.56090909091,,
1991-04,1991,4,United States,USA,62.11836974914,4.80993017843,81.99031562179,101.89709482427,1.0,166785799579.836,167397132733.962
1991-04,1991,4,Philippines,PHL,31.95388376736,20.44301657085,146.32606046614,82.79284807028,27.41785137228,3193225283.47896,3060341144.92754
1991-04,1991,4,Brunei,BRN,79.5322516779,2.7181491697,,,1.75682164068,,
1991-04,1991,4,Papua New Guinea,PNG,,,224.59379141076,112.5149848502,0.99639397487,,
1991-04,1991,4,Myanmar,MMR,2.14399878783,34.25186457,,,6.3683,,
1991-04,1991,4,Chad,TCD,46.04129036839,7.24446139032,,,287.97109783152,,
1991-05,1991,5,Vietnam,VNM,,,,,9212.80323838078,,
1991-05,1991,5,Singapore,SGP,75.58852207828,3.80844585439,77.05626279593,92.48572234519,1.76908695652,1607983471.72944,1641978351.36826
1991-05,1991,5,Brunei,BRN,79.68744424551,2.69505167303,,,1.75543151448,,
1991-05,1991,5,Taiwan China,TWN,73.22776065469,3.92156862745,,,27.2662173913,5560212855.37704,5324461557.68239
1991-05,1991,5,Papua New Guinea,PNG,,,225.46773724437,113.06125707751,0.99991801636,,
1991-05,1991,5,Cambodia,KHM,,,,,600.0,,
1991-05,1991,5,Myanmar,MMR,2.31752517218,44.21945500403,,,6.3958,,
1991-05,1991,5,Lao PDR,LAO,4.34983819855,16.05580187444,,,700.49998128819,,
1991-05,1991,5,Thailand,THA,52.99838266575,6.42351384319,,,25.63434782609,,
1991-05,1991,5,Malaysia,MYS,59.27138358806,4.04491528277,113.02868002888,111.03599876871,2.75747826087,2571849709.11776,2650226410.66685
1991-05,1991,5,Indonesia,IDN,14.00949913877,9.55261065846,,,1939.36890468641,18053945608.2477,17437699336.5248
1991-05,1991,5,Philippines,PHL,32.26341879192,20.48919416988,147.7172850159,83.98220902748,27.31230784767,3320682595.16145,3099280746.70996
1991-05,1991,5,United States,USA,62.34826749062,5.03485670023,82.51606313685,102.37424132996,1.0,167909391343.794,169068146039.679
1991-05,1991,5,Chad,TCD,46.2622359159,8.94220817376,,,290.98610932564,,
1991-05,1991,5,China,CHN,42.68771765829,3.58390531432,132.84860198301,85.52472080962,5.32613043478,314800239586.991,326803944898.637
1991-06,1991,6,Myanmar,MMR,2.28532157025,37.71320624038,,,6.5071,,
1991-06,1991,6,Philippines,PHL,32.51687863087,20.3519986717,150.18714594545,85.57579655685,27.28962826238,3236568262.08781,2933489404.89524
1991-06,1991,6,United States,USA,62.53218568381,4.69591993841,84.12407079528,103.96105935513,1.0,174253840588.63,170608199660.831
1991-06,1991,6,Chad,TCD,45.14349084803,6.51138137013,,,302.9061547684,,
1991-06,1991,6,Papua New Guinea,PNG,,,228.38033814283,114.37622135055,1.00820003673,,
1991-06,1991,6,Brunei,BRN,79.85620013031,2.69272149449,,,1.76546028211,,
1991-06,1991,6,Singapore,SGP,75.76496262246,3.90830215713,77.66957949314,93.08304433416,1.7782,1622654626.88788,1598456033.62116
1991-06,1991,6,Malaysia,MYS,59.77307684576,4.91154587965,113.7475324601,112.11042949607,2.7812,2743981382.56265,2740487085.96727
1991-06,1991,6,Lao PDR,LAO,4.41642319481,14.95386936629,,,700.49998128819,,
1991-06,1991,6,Thailand,THA,53.00208175443,5.94926016604,,,25.761,,
1991-06,1991,6,Vietnam,VNM,,,,,9465.2088065556,,
1991-06,1991,6,China,CHN,42.77549295463,4.39042862784,133.57507712958,86.6692762896,5.3672,307150652873.432,320228488313.103
1991-06,1991,6,Taiwan China,TWN,73.27027314274,4.21768707483,,,27.15975,5432529185.32082,5292240658.9631
1991-06,1991,6,Cambodia,KHM,,,,,800.0,,
1991-06,1991,6,Indonesia,IDN,14.06548556944,8.5867557739,,,1947.39420989387,18093328192.2332,17351097567.0497
1991-07,1991,7,Thailand,THA,52.85457428584,5.26399076212,,,25.74260869565,,
1991-07,1991,7,Papua New Guinea,PNG,,,228.02709884921,113.98913677395,1.00346297205,,
1991-07,1991,7,Vietnam,VNM,,,,,9591.41159064301,,
1991-07,1991,7,Myanmar,MMR,2.30101900515,33.1589318866,,,6.5068,,
1991-07,1991,7,Philippines,PHL,32.8331426777,20.0032792261,151.05225700851,86.32471921113,27.11830412244,3482016565.41153,3102708457.64893
1991-07,1991,7,United States,USA,62.6241447804,4.36781609195,84.18627933407,103.47932706179,1.0,168017029546.391,170787025513.471
1991-07,1991,7,China,CHN,42.95031454688,4.70655811896,133.32906730748,86.89406672297,5.3697826087,290895843583.658,313637192555.083
